,date,fiscal_balance,velocity_bills_issued_as_percent_gdp,bills_supply_trend,value,value_trend
0,1974-01-01,193455779128.5586,4.625892524951695,3.0269234971393812,7.05333333333333,8.431052093968292
1,1974-04-01,120949377308.70703,2.8617174092825626,2.6268611420664914,7.54333333333333,7.922332094345299
2,1974-07-01,86277336185.74219,2.0251418621648964,2.282314975212385,7.96333333333333,7.538891706198481
3,1974-10-01,104910619694.54297,2.440862153667263,1.9882920093256593,7.67,7.2664680824988075
4,1975-01-01,96885420355.67969,2.228798627613773,1.7400957442691418,7.54,7.091832628385633
5,1975-04-01,52841403425.390625,1.213790766162547,1.53331469563219,8.05,7.002739481412042
6,1975-07-01,-4437255038.347656,-0.10072110751749135,1.363811188124227,8.29666666666667,6.987875730155105
7,1975-10-01,1835708914.6835938,0.04135611296041101,1.2277104110240504,8.06333333333334,7.036813334886854
8,1976-01-01,32932689389.214844,0.7388328926812308,1.1213897329564564,7.75333333333333,7.139962714359556
9,1976-04-01,17544962189.83203,0.3946319659046997,1.0414682732647738,7.77333333333333,7.288527963117566
10,1976-07-01,-18055008756.601562,-0.40629149134339915,0.9847967272447508,7.73,7.474463664105614
11,1976-10-01,-1636600340.8125,-0.03681809950375203,0.948447442502707,7.19,7.690433261701887
12,1977-01-01,18910314810.71875,0.4234308457898193,0.9297047436972776,7.35333333333333,7.929768960661921
13,1977-04-01,20767024749.921875,0.4624254256487721,0.9260555029217148,7.37,8.186433116817952
14,1977-07-01,15482729854.398438,0.34356148530181696,0.9351799529802927,7.35666666666667,8.454981085735927
15,1977-10-01,15039853589.8125,0.33360018532677066,0.9549427408096611,7.59666666666667,8.730525495890936
16,1978-01-01,27191499127.578125,0.6022621910368401,0.9833842182928905,8.01,9.008701913279586
17,1978-04-01,94625547571.4375,2.0664666296205696,1.0187119677110261,8.32,9.285635864746137
18,1978-07-01,103441247407.61719,2.2391634691329756,1.0592925590739788,8.49,9.557911187657185
19,1978-10-01,95487764303.375,2.0484716760844535,1.103643536569714,8.82,9.822539673917934
20,1979-01-01,99619050775.34375,2.1362568071199575,1.1504256313675092,9.10666666666667,10.07693197668099
21,1979-04-01,193765652925.85938,4.112639286572577,1.1984351980083376,9.11333333333333,10.318869748456919
22,1979-07-01,117244747316.8125,2.470991194364244,1.246596871612267,9.10333333333333,10.546478979693719
23,1979-10-01,79109379958.0,1.6539472199792373,1.2939564431299628,10.4466666666667,10.758204507250603
24,1980-01-01,148125019484.5078,3.0577960787940333,1.3396739498621786,11.9866666666667,10.952785662549488
25,1980-04-01,237294743354.9453,4.85480604224048,1.3830169784684883,10.4766666666667,11.129233029545725
26,1980-07-01,134999924151.41406,2.760460357817633,1.4233541776831862,10.9533333333333,11.286806283017727
27,1980-10-01,67652072382.828125,1.377126398290014,1.4601489779535621,12.4233333333333,11.424993078033165
28,1981-01-01,-113842166523.04688,-2.3001482218484677,1.492953515212712,12.96,11.543488961807599
29,1981-04-01,152812935603.4375,3.0707889635009478,1.5214027559960208,13.75,11.642178279529409
30,1981-07-01,169701372839.85938,3.3976716922716905,1.5452088211075845,14.8466666666667,11.721116046083143
31,1981-10-01,150421901908.57812,2.9793887142810145,1.5641555050397873,14.0866666666667,11.780510755961231
32,1982-01-01,115573586399.26562,2.278025979866953,1.5780929883463302,14.2933333333333,11.820708104012436
33,1982-04-01,-15397667895.578125,-0.30204332560212704,1.586932740166023,13.93,11.842175590033268
34,1982-07-01,-49687299563.796875,-0.9693714538722418,1.5906426080916565,13.1166666666667,11.845487980566737
35,1982-10-01,51360792007.59375,0.992346094758358,1.589242092575363,10.6666666666667,11.83131360163102
36,1983-01-01,-46352341443.75,-0.8899329386337971,1.5827978030588645,10.5633333333333,11.800401436458607
37,1983-04-01,-108698658837.70312,-2.077945658016775,1.5714190930139846,10.5433333333333,11.753569002684564
38,1983-07-01,-31537860010.171875,-0.597667686200773,1.5552538710759949,11.6266666666667,11.691690983780838
39,1983-10-01,-5812057776.921875,-0.1107857411692821,1.5344845854491913,11.6866666666667,11.61568858989132
40,1984-01-01,22289114485.90625,0.4225799129103279,1.5093243787612893,11.9433333333333,11.526519623580828
41,1984-04-01,58287694399.671875,1.092219789478731,1.4800134105401823,13.2,11.425169226368949
42,1984-07-01,58787272855.921875,1.0941020297433564,1.446815344483642,12.8666666666667,11.312641282278005
43,1984-10-01,129782329727.34375,2.3821026297655385,1.4100139976895933,11.7433333333333,11.189950454982405
44,1985-01-01,101771917302.9375,1.849162869417414,1.3699101490116163,11.5833333333333,11.058114835504721
45,1985-04-01,93706526681.09375,1.6766576610250832,1.3268185037013485,10.8133333333333,10.918149177762022
46,1985-07-01,61293007505.96875,1.0793707730236852,1.28106481149652,10.3366666666667,10.771058699623966
47,1985-10-01,75896938089.57812,1.326276641090374,1.2329831353103387,9.76,10.617833427502376
48,1986-01-01,68193275047.515625,1.18141031464794,1.1829132676750347,8.55666666666667,10.45944306285003
49,1986-04-01,116668019916.64062,1.9911148445523268,1.1311982920893513,7.60333333333333,10.296832349304538
50,1986-07-01,125850000436.17188,2.1129964214646324,1.0781822864168136,7.30666666666667,10.130916919571256
51,1986-10-01,18663216569.609375,0.3123128110302337,1.0242081654786739,7.26333333333333,9.962579601497286
52,1987-01-01,-3610902842.609375,-0.06005768709265435,0.969615659982406,7.19333333333333,9.792667163146758
53,1987-04-01,34183086939.6875,0.5646833085835962,0.914739428923689,8.34333333333334,9.621987477045561
54,1987-07-01,53577362717.0625,0.8817502707179443,0.8599073025968518,8.87666666666667,9.45130708412196
55,1987-10-01,78540100397.875,1.2794207719616786,0.8054386533457644,9.12333333333333,9.28134913822749
56,1988-01-01,57700037038.6875,0.9402869373860222,0.7516428911841945,8.41666666666666,9.112791712480647
57,1988-04-01,83318499501.07812,1.3519235258443896,0.6988180814117008,8.91,8.946266449034091
58,1988-07-01,45051805010.84375,0.7291008983422432,0.6472496813481391,9.1,8.782357534224039
59,1988-10-01,79058523375.0625,1.26456043509385,0.5972093933068998,8.95666666666667,8.621600981418652
60,1989-01-01,80982157588.39062,1.2931787357713438,0.5489541309240293,9.20666666666666,8.464484204240446
61,1989-04-01,105221994188.5625,1.662561315311804,0.502725095957417,8.77333333333333,8.311445863195647
62,1989-07-01,109554398543.79688,1.7163372237808265,0.45874696266724946,8.10666666666667,8.162875969101684
63,1989-10-01,117918986249.15625,1.8345643585019418,0.4172271668859866,7.90666666666667,8.019116227061996
64,1990-01-01,111065812196.84375,1.7073862658524317,0.37835529688312614,8.42333333333334,7.880460605095531
65,1990-04-01,89243543862.25,1.3643712552420997,0.3423025831270572,8.67666666666666,7.747156111886255
66,1990-07-01,76305083800.84375,1.1609621428138543,0.30922148404334904,8.70333333333333,7.619403768476293
67,1990-10-01,78899569111.0625,1.1923016168318483,0.2792453648658312,8.39666666666667,7.497359759084237
68,1991-01-01,78011182299.5,1.171302205159386,0.2524882666738677,8.01666666666666,7.381136746588351
69,1991-04-01,64400197611.34375,0.9617967575094758,0.22904476270625218,8.13,7.270805338572483
70,1991-07-01,-39111032479.0625,-0.5837187867221343,0.2089898990391863,7.94,7.166395690190584
71,1991-10-01,-51497153826.375,-0.7706373031220557,0.19237921671282587,7.34666666666667,7.067899230463807
72,1992-01-01,-6952652103.84375,-0.10359637920263479,0.17924885238792343,7.30333333333333,6.975270498982326
73,1992-04-01,-87685688461.65625,-1.3081815862768849,0.16961571461111613,7.37666666666667,6.888429080342035
74,1992-07-01,-115262880472.59375,-1.717088913118426,0.16347773276444288,6.61666666666667,6.807261624004416
75,1992-10-01,-13567206794.5,-0.20223319144039836,0.1608141757717071,6.74333333333333,6.731623937625987
76,1993-01-01,-94231461889.0625,-1.414924358764249,0.16158603763132906,6.28,6.661343142261798
77,1993-04-01,-35978873316.3125,-0.5412532886032052,0.16573648684236741,5.99,6.596219878205543
78,1993-07-01,-23457846353.8125,-0.35318057301325567,0.17319137678741425,5.61666666666667,6.5360305505869984
