,date,fiscal_balance,velocity_supply_as_percent_gdp,supply_to_gdp_percent,consumer_approval,consumer_disapproval,consumer_ambivalent,money_supply_trend,approval_trend,value,value_trend
0,1974-01-01,521439659.20619965,5.94866469502238,153.441592332191,24.76,41.9,33.33,7.600877154201317,23.632223723977496,13.3233333333333,13.661754060893692
1,1974-04-01,590324729.8560009,6.431756245806763,152.97515704475492,25.71,42.86,31.43,7.8118225656135225,24.409025485820827,13.6533333333333,13.6196235371911
2,1974-07-01,680256188.7392998,7.032343114868837,152.17994288935623,22.38,42.38,35.24,7.9567626675217,24.99848753874231,14.2866666666667,13.580446318024613
3,1974-10-01,915825636.6252995,8.779941192421612,149.90647551310053,24.29,42.38,33.33,8.04368380934185,25.421518534482374,15.5633333333333,13.543782817657945
4,1975-01-01,1109677192.8383007,9.821613500488144,148.21895975962303,21.43,45.24,33.33,8.079928061440592,25.697436229122637,13.5466666666667,13.509225269472598
5,1975-04-01,1504402264.3810005,11.974329071180222,145.26654616332226,28.57,45.71,25.71,8.07222944076498,25.844052368089137,12.84,13.476395936852587
6,1975-07-01,1231062088.2668,9.340926070427628,147.8213480339602,27.14,36.67,36.19,8.026748760654069,25.877754503274527,12.76,13.44494540234177
7,1975-10-01,1320052037.0130005,9.400087757230878,148.12933734284434,29.52,40.48,30.0,7.949107136843303,25.813584810353365,13.58,13.41455093283674
8,1976-01-01,1282705069.0772972,8.661715484951923,149.12969212199266,25.24,48.57,26.19,7.844418181324854,25.66531597365929,12.44,13.3849149186082
9,1976-04-01,1232199000.8936996,7.937566707184497,150.20108793243358,24.29,38.1,37.62,7.717318915380518,25.445524205287057,12.7633333333333,13.355763383973782
10,1976-07-01,1306645784.1707,7.9799086985144205,150.3787952320487,29.05,43.33,27.62,7.5719994327559075,25.165659464376112,13.8033333333333,13.32684456747532
11,1976-10-01,1115234502.8057022,6.591336482854233,152.12177428391306,26.67,40.95,32.38,7.412231343597727,24.836112941826688,15.4333333333333,13.297927569443583
12,1977-01-01,1006737974.9386978,5.775811735312119,153.4418674213305,28.1,42.86,29.05,7.241395029428548,24.466281874994294,13.2833333333333,13.26880106486356
13,1977-04-01,881310192.1365013,4.936914723159624,154.75841106811527,25.71,40.48,33.81,7.062505739086165,24.06463175620064,12.1866666666667,13.239272079483307
14,1977-07-01,974580383.0676994,5.269464336977819,154.64388481722767,21.43,46.19,32.38,6.878238555207565,23.638755998195847,12.0633333333333,13.209164827139546
15,1977-10-01,884178530.4308014,4.660368915209348,155.41278406111687,20.0,44.29,35.71,6.690952260489978,23.195433118998675,10.5766666666667,13.178319606303084
16,1978-01-01,839949474.4944992,4.320162663573018,155.9739795685799,17.62,44.29,38.1,6.5027121326143895,22.740681507836612,10.7333333333333,13.14659175387723
17,1978-04-01,1043604091.2214012,5.159108395334571,155.0737656543064,19.05,45.24,35.71,6.315311696369595,22.279811833202025,12.2233333333333,13.113850654312447
18,1978-07-01,1006179167.4286995,4.827637336176479,155.33535480585124,20.48,40.95,38.57,6.1302934611675965,21.81747715333408,12.3266666666667,13.07997880213037
19,1978-10-01,990249110.2509003,4.618514236923888,155.61568965359243,18.1,50.95,30.95,5.948968671793854,21.357720788730482,12.9766666666667,13.044870915980535
20,1979-01-01,1080517054.7299995,4.873398530240948,155.3593151000979,18.57,43.81,37.62,5.7724360998885835,20.90402201558773,13.2066666666667,13.008433102383005
21,1979-04-01,1013702291.6328964,4.4548857826335055,155.83301773174762,17.62,48.1,34.29,5.601599903308221,20.45933963836192,11.9,12.970582067340246
22,1979-07-01,1310787692.3218994,5.511900384772058,154.6203795382741,16.19,46.19,37.62,5.437186580168571,20.026153498936615,12.3866666666667,12.93124437403158
23,1979-10-01,1456567874.3447037,5.867121935030299,153.97975986355078,17.14,41.9,40.95,5.279761044024253,19.606503979178875,14.29,12.890355744833547
24,1980-01-01,1614932131.8761978,6.217964065054906,153.40283896377008,19.52,43.33,37.14,5.129741846291489,19.202029552957676,14.6933333333333,12.84786040593957
25,1980-04-01,1922524072.8086014,7.011197648914441,152.30928202873756,20.95,43.81,35.24,4.987415571674157,18.814002442994152,14.1033333333333,12.803710472882358
26,1980-07-01,2068015094.5894012,7.166756797023703,151.90220481273934,20.95,40.95,38.1,4.8529504320057635,18.44336243720654,13.4166666666667,12.757865375292448
27,1980-10-01,2407256729.3358994,7.8587994439783255,150.95526642838564,18.57,40.95,40.48,4.726409083572625,18.090748918507003,13.44,12.710291319256399
28,1981-01-01,2347275179.3711014,7.315392053109228,151.42338592499803,20.0,47.62,32.38,4.607760692636371,17.756531161301716,13.8233333333333,12.660960785668088
29,1981-04-01,1895268777.5290985,5.757738238951833,153.36253192680994,22.38,46.67,30.95,4.4968922735265675,17.440836947239866,14.25,12.609852062996664
30,1981-07-01,1954104191.8218002,5.730190417536458,153.76351706539438,20.95,44.29,34.76,4.393619323326971,17.14357955205088,15.44,12.5569488129247
31,1981-10-01,1841018033.634201,5.240185869687377,154.49234259850982,20.95,43.33,35.71,4.297695776831695,16.864483154603953,16.02,12.502239667340124
32,1982-01-01,1518634508.7242966,4.242255536013666,155.86413306195476,20.0,45.71,34.29,4.208823305100287,16.60310671861752,15.0133333333333,12.445717855195532
