,date,fiscal_balance,velocity_bills_issued_as_percent_gdp,bills_supply_trend,value,value_trend
0,1974-01-01,113632475297.41849,-314.78129706618637,-287.84717572463455,13.3233333333333,13.666860748317857
1,1974-04-01,-354972805199.99756,-371.3615137401467,-195.76672524780813,13.6533333333333,13.622597129756793
2,1974-07-01,11261527370578.785,501.19706852552434,-117.01363559829888,14.2866666666667,13.581717853897056
3,1974-10-01,-2948312296353.584,-109.5055635566765,-50.2961843906093,15.5633333333333,13.543728753256728
4,1975-01-01,7449309661031.482,174.79340173011667,5.586831175924885,13.5466666666667,13.5081721839199
5,1975-04-01,8848018862319.713,-84.80306201157984,51.75067762094638,12.84,13.474624955468151
6,1975-07-01,178627822321607.66,-404.43348859173796,89.22910785000332,12.76,13.442696350480414
7,1975-10-01,167408284044028.2,-245.3242173505017,118.9786266996324,13.58,13.41202623108577
8,1976-01-01,377826725763132.75,167.10650758354961,141.88260283920965,12.44,13.382283230087086
9,1976-04-01,738857317539250.2,158.4623288452465,158.75523047173306,12.7633333333333,13.35316302420655
10,1976-07-01,255033685496513.0,41.52867252175947,170.34534423933212,13.8033333333333,13.324386687037405
11,1976-10-01,1.8777896966039908e+16,-393.15333190447706,177.34009070285583,15.4333333333333,13.295699119319444
12,1977-01-01,9380823096674780.0,-156.01186193154683,180.36845972850708,13.2833333333333,13.266867554189044
13,1977-04-01,4.658441710056311e+16,-348.6919356905738,180.00467907804048,12.1866666666667,13.237680135087727
14,1977-07-01,-5.0514997408750744e+16,3084.0884418776104,176.7714754626526,12.0633333333333,13.207944564046501
15,1977-10-01,1.9714342604446922e+17,326.3703633861583,171.1432052842922,10.5766666666667,13.17748681809647
16,1978-01-01,3.1797090574720168e+19,521.8664932089238,163.54885825167148,10.7333333333333,13.14614993158939
17,1978-04-01,-1.2343653999970845e+19,-201.30413519213707,154.37493702186535,12.2233333333333,13.113792842245122
18,1978-07-01,-2.991005081574687e+17,-4.7954848584076615,143.96821598198338,12.3266666666667,13.080289298776158
19,1978-10-01,2.392647057042703e+20,-396.378226877935,132.63838224895625,12.9766666666667,13.045526827972605
20,1979-01-01,8.655863709893381e+20,-396.7534215024524,120.66056192910466,13.2066666666667,13.009405759164284
21,1979-04-01,7.199024267765177e+20,-229.6920142636234,108.2777346427005,11.9,12.97183830400977
22,1979-07-01,-8.676893549419868e+20,1144.6702365428675,95.70303928235924,12.3866666666667,12.932747689595537
23,1979-10-01,6.41125309597812e+20,86.56409509638068,83.12197393766425,14.29,12.892067342861456
24,1980-01-01,1.0119683380497915e+22,345.26102283096236,70.69449288201676,14.6933333333333,12.849740124402285
25,1980-04-01,2.8442835482246988e+22,303.59686755310395,58.55700348129308,14.1033333333333,12.805717609727894
26,1980-07-01,-3.0680768485680092e+22,-453.82153745696536,46.82426584747894,13.4166666666667,12.759959416098276
27,1980-10-01,2.6719789361488538e+23,-407.5268841334206,35.59119802404075,13.44,12.712432573082584
28,1981-01-01,3.7577915715239824e+25,-524.8862321530562,24.93458945336468,13.8233333333333,12.663110935024722
29,1981-04-01,7.92089718590571e+24,-108.31796763833603,14.914725440207405,14.25,12.611974633631174
30,1981-07-01,2.4080331161301898e+28,526.8944165327812,5.576925288662181,15.44,12.559009568930033
31,1981-10-01,-1.0505325251566137e+28,-226.4224557281243,-3.0470032462442873,16.02,12.504206936883444
32,1982-01-01,5.849455594581559e+27,101.4248939977355,-10.937390587644153,15.0133333333333,12.447562791968853
33,1982-04-01,7.449082672809339e+29,505.99377074158605,-18.08541047832488,13.9466666666667,12.389077643077725
34,1982-07-01,-4.222962218114689e+29,-317.04672927981903,-24.49186110276669,12.3566666666667,12.328756081113617
35,1982-10-01,-9.376388833596818e+28,-86.46708281332064,-30.166019694274084,11.0233333333333,12.266606436704711
36,1983-01-01,2.0905167326910954e+30,-317.76621163250553,-35.124568168153345,11.68,12.202640466479178
37,1983-04-01,6.660463234335703e+30,-355.34445485047763,-39.39058735832202,11.07,12.136873066384926
38,1983-07-01,1.5349175605789387e+31,-351.29910555835306,-42.99261747112595,11.5,12.069322010568559
39,1983-10-01,-5.802732796773294e+30,187.1741316985047,-45.96378240657349,10.8233333333333,12.000007714361608
40,1984-01-01,5.362015938055821e+32,-519.0879567054501,-48.34097563359369,10.7666666666667,11.928953019955262
